Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
var8_Link,"0,0372161139414965","-9,9406594067375E-14","-1,11022302462516E-16",0,0,0,"0,00336929740146276","1,11779338879994E-08","-1,79071326368899E-18","3,28928643878773E-22","1,74156056743116E-06","-6,84068782855437E-24","1,75049230305151E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var8_Link.STL,"0,843137254901961","0,815686274509804","0,752941176470588",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/var8_Link.STL,,Macho-7/s-1;Macho-7/Imprimir-1;Macho-7/s-2,Origin_var8_joint,,var8_joint,revolute,"0,046","0,012",0,0,0,"1,0888",des1_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
des2_Link,"-3,36265553015573E-05","0,011996025197435","0,000223789664236418",0,0,0,"0,087065648965423","2,61220393789014E-05","6,01614278362878E-09","1,16918317543917E-07","5,24490776636611E-05","1,43044137799259E-08","3,22308660578771E-05",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/des2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/des2_Link.STL,,Deslizador_2-1;RodamientoLineal8mm-3;RodamientoLineal8mm-4,Origin_des2_joint,Axis_des2_joint,des2_joint,prismatic,0,"0,98903","-0,27531","-1,5708",0,0,base_link,0,1,0,0,0,"-0,75","0,75",,,,,,,,
vari1_Link,"0,0383944192780585","-5,2030602049058E-13","1,77635683940025E-15",0,0,0,"0,00348011285246065","1,15338878638317E-08","4,63459830131351E-17","5,30429567799629E-22","1,908276947371E-06",0,"1,91749075999985E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari1_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari1_Link.STL,,Hembra-4/Imprimir-1;Hembra-4/s-1;Hembra-4/Imprimir-2,Origin_vari1_joint,,vari1_joint,revolute,"0,033507","0,011425","-0,033507","2,4111","0,31976","-1,2333",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari2_Link,"0,0383944192776854","2,89768209427166E-14","2,4737594563612E-15",0,0,0,"0,00348011285246064","1,15338878638316E-08","7,58102759598724E-20","-2,13161642804239E-21","1,908276947371E-06","-3,50886094916816E-24","1,91749075999986E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari2_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari2_Link.STL,,Hembra-1/Imprimir-1;Hembra-1/s-1;Hembra-1/Imprimir-2,Origin_vari2_joint,,vari2_joint,revolute,0,"0,012","-0,045944","1,5708","0,4825","-1,5708",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari3_Link,"0,0383944192776972","1,40276679161389E-13","1,66533453693773E-15",0,0,0,"0,0034801128524607","1,1533887863832E-08","-7,00655066056917E-18","-5,7654488694946E-22","1,90827694737104E-06",0,"1,91749075999989E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari3_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari3_Link.STL,,Hembra-3/Imprimir-1;Hembra-3/Imprimir-2;Hembra-3/s-1,Origin_vari3_joint,,vari3_joint,revolute,"-0,032527","0,012","-0,032527","0,72518","0,33367","-1,9248",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari4_Link,"0,0383944192776953","2,83106871279415E-15","1,11022302462516E-16",0,0,0,"0,00348011285246065","1,15338878638319E-08","-4,65603423193848E-20","-4,65890770850715E-22","1,908276947371E-06","-1,00852880211941E-23","1,91749075999986E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari4_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari4_Link.STL,,Hembra-6/Imprimir-2;Hembra-6/Imprimir-1;Hembra-6/s-1,Origin_vari4_joint,,vari4_joint,revolute,"-0,045956","0,010501",0,0,0,"-2,0922",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari5_Link,"0,0383944192776846","2,53796983429311E-13","-1,11022302462516E-15",0,0,0,"0,00348011285246069","1,15338878638318E-08","-1,30448558084623E-17","-7,26388654913441E-21","1,90827694737102E-06","-5,29395592033938E-23","1,91749075999988E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari5_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari5_Link.STL,,Hembra-7/Imprimir-2;Hembra-7/Imprimir-1;Hembra-7/s-1,Origin_vari5_joint,,vari5_joint,revolute,"-0,033583","0,011858","0,033583","-0,72734","-0,32809","-1,9181",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari6_Link,"0,0383944192767571","-1,73638881051374E-13","-2,40786398692195E-15",0,0,0,"0,00348011285246067","1,15338878638323E-08","-3,57380352036591E-17","-2,21151698286206E-21","1,90827694737102E-06","1,85231217797673E-25","1,91749075999987E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari6_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari6_Link.STL,,Hembra-8/Imprimir-2;Hembra-8/Imprimir-1;Hembra-8/s-1,Origin_vari6_joint,,vari6_joint,revolute,0,"0,011577","0,047439","-1,5708","-0,477","-1,5708",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari7_Link,"0,0383944192777346","-6,11732886568461E-14","-2,33146835171283E-15",0,0,0,"0,00348011285246063","1,15338878638318E-08","2,31368621185676E-20","2,37359476772091E-21","1,90827694737098E-06","1,05879118406788E-22","1,91749075999984E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari7_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari7_Link.STL,,Hembra-5/Imprimir-1;Hembra-5/s-1;Hembra-5/Imprimir-2,Origin_vari7_joint,,vari7_joint,revolute,"0,03194","0,012","0,03194","-2,4181","-0,33793","-1,2117",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
vari8_Link,"0,0383944192777002","-4,5102810375397E-14","-1,11022302462516E-16",0,0,0,"0,00348011285246063","1,15338878638315E-08","1,90273833404705E-18","-6,7182998921553E-22","1,908276947371E-06","3,994916513673E-23","1,91749075999986E-06",0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari8_Link.STL,"0,647058823529412","0,619607843137255","0,6",1,0,0,0,0,0,0,package://Medusa_Final_2027/meshes/vari8_Link.STL,,Hembra-2/Imprimir-1;Hembra-2/Imprimir-2;Hembra-2/s-1,Origin_vari8_joint,,vari8_joint,revolute,"0,045982","0,012",0,"-3,1416",0,"-1,0886",des2_Link,0,0,1,0,0,"-1,57","1,57",,,,,,,,
